epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
11,600000.0,0.6,525142.4868857047,9999.0,2855769.230769231,778846.1538461538,255254.84307692302,1555001.567179487,266666.6666666666,0,49999.999999999985,2332502.3507692316,46.65004701538463,46350.156921988964,2317.507846099448,41715.14122979007,2317.507846099448,14142.486885704733,1000.0,1.0,0,0,0,10
12,550000.0,0.55,528506.1752815967,9999.0,3115384.615384616,778846.1538461538,256999.0596923076,1779539.4018461537,300000.0,0,49999.999999999985,2669309.1027692314,53.38618205538463,47273.7679178409,2363.6883958920453,42546.39112605681,2363.6883958920453,16506.175281596777,1000.0,1.0,0,0,0,11
13,500000.00000000006,0.5000000000000001,531903.0921332017,9999.0,3375000.000000001,778846.1538461538,258045.5896615384,2004774.9231589742,333333.3333333333,0,49999.999999999985,3007162.3847384616,60.14324769476923,47938.337032099924,2396.9168516049963,43144.50332888993,2396.9168516049963,18903.09213320177,1000.0,1.0,0,0,0,12
14,985324.0776881734,0.9853240776881734,0.0,0.0,3634615.384615386,778846.1538461538,258673.50764307688,2230429.056459487,366666.6666666666,0,49999.99999999999,3345643.5846892307,66.91287169378461,48419.71109943306,2420.985554971653,43577.73998948975,2420.985554971653,21324.077688173424,1000.0,1.0,0,0,0,13
15,935324.0776881734,0.9353240776881734,3438.539726140625,9999.0,3894230.769230771,778846.1538461538,259050.25843199994,2456334.356952615,400000.0,0,50000.0,3684501.5354289226,73.69003070857845,48770.7945228125,2438.539726140625,43893.71507053125,2438.539726140625,23762.61741431405,1000.0,1.0,0,0,0,14
16,885324.0776881734,0.8853240776881733,6889.973209869533,9999.0,4153846.153846156,778846.1538461538,259276.3089053538,2682390.3577613123,433333.3333333334,0,50000.0,4023585.5366419684,80.47171073283937,49028.669674578145,2451.4334837289075,44125.802707120325,2451.4334837289075,26214.05089804296,1000.0,1.0,0,0,0,15
17,835324.0776881734,0.8353240776881734,10350.94696232098,9999.0,4413461.538461541,778846.1538461538,259411.93918936612,2908536.7787593515,466666.6666666666,0,50000.0,4362805.1681390265,87.25610336278054,49219.475049028944,2460.973752451447,44297.52754412605,2460.973752451447,28675.024650494404,1000.0,1.0,0,0,0,16
18,785324.0776881733,0.7853240776881732,13819.03425344421,9999.0,4673076.923076926,778846.1538461538,259493.3173597735,3134737.451870995,500000.0,0,50000.000000000015,4702106.177806492,94.04212355612984,49361.74582246458,2468.087291123229,44425.57124021812,2468.087291123229,31143.111941617633,1000.0,1.0,0,0,0,17
19,735324.0776881733,0.7353240776881733,17292.469553131537,9999.0,4932692.307692311,778846.1538461538,259542.14426201792,3360970.676250802,533333.3333333334,0,50000.000000000015,5041456.014376202,100.82912028752403,49468.70599374652,2473.435299687326,44521.83539437187,2473.435299687326,33616.54724130496,1000.0,1.0,0,0,0,18
20,685324.0776881733,0.6853240776881733,20769.961901763483,9999.0,5192307.692307696,778846.1538461538,259571.44040336457,3587223.4313915065,566666.6666666667,0,50000.00000000002,5380835.147087258,107.61670294174516,49549.846972638916,2477.492348631946,44594.862275375024,2477.492348631946,36094.0395899369,1000.0,1.0,0,0,0,19
