param_name,expanded_key,param_value,audience_reserve_final,treasury_runway_epochs,final_amm_price,data_asset_value_final
claim_rate_by_cohort,passive_viewers,0.09444444444444446,14345685.61489265,9999.0,0.10018043101929713,1437156.9681672764
claim_rate_by_cohort,passive_viewers,0.10555555555555557,14345685.632395802,9999.0,0.1001804292441258,1437156.9444546998
claim_rate_by_cohort,passive_viewers,0.11666666666666668,14345685.649896983,9999.0,0.10018042746913886,1437156.920744571
claim_rate_by_cohort,passive_viewers,0.1277777777777778,14345685.667396234,9999.0,0.10018042569433766,1437156.8970369133
claim_rate_by_cohort,passive_viewers,0.1388888888888889,14345685.684893474,9999.0,0.10018042391971996,1437156.8733316862
claim_rate_by_cohort,passive_viewers,0.15000000000000002,14345685.702388776,9999.0,0.10018042214528558,1437156.8496288953
claim_rate_by_cohort,active_viewers,0.2,14345686.051860044,9999.0,0.10017974131611557,1437147.1176775463
claim_rate_by_cohort,active_viewers,0.24444444444444446,14345685.95650013,9999.0,0.1001798946685711,1437149.3080705828
claim_rate_by_cohort,active_viewers,0.2888888888888889,14345685.86125262,9999.0,0.10018004786366544,1437151.496217396
claim_rate_by_cohort,active_viewers,0.33333333333333337,14345685.766120344,9999.0,0.10018020089662738,1437153.682049824
claim_rate_by_cohort,active_viewers,0.3777777777777778,14345685.671106279,9999.0,0.10018035376270824,1437155.8655000417
claim_rate_by_cohort,active_viewers,0.4222222222222223,14345685.576213269,9999.0,0.10018050645717845,1437158.0465004852
claim_rate_by_cohort,active_viewers,0.46666666666666673,14345685.481444247,9999.0,0.10018065897533296,1437160.2249839513
claim_rate_by_cohort,active_viewers,0.5111111111111112,14345685.386802027,9999.0,0.10018081131248548,1437162.4008834942
claim_rate_by_cohort,active_viewers,0.5555555555555556,14345685.292289479,9999.0,0.10018096346397792,1437164.5741325777
claim_rate_by_cohort,active_viewers,0.6000000000000001,14345685.197909413,9999.0,0.10018111542517014,1437166.7446649177
claim_rate_by_cohort,power_users,0.4,14345688.50703821,9999.0,0.10017897985054178,1437136.4398887295
claim_rate_by_cohort,power_users,0.4666666666666667,14345688.020463996,9999.0,0.10017922452640372,1437139.901187803
claim_rate_by_cohort,power_users,0.5333333333333333,14345687.536020141,9999.0,0.10017946815512718,1437143.3476781347
claim_rate_by_cohort,power_users,0.6000000000000001,14345687.053914618,9999.0,0.10017971063178097,1437146.7778752528
claim_rate_by_cohort,power_users,0.6666666666666667,14345686.574351361,9999.0,0.10017995185347618,1437150.190323579
claim_rate_by_cohort,power_users,0.7333333333333334,14345686.097529741,9999.0,0.10018019171954613,1437153.583598957
claim_rate_by_cohort,power_users,0.8,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,power_users,0.8666666666666667,14345685.152885048,9999.0,0.1001806669941245,1437160.307103733
claim_rate_by_cohort,power_users,0.9333333333333333,14345684.68543569,9999.0,0.10018090221373188,1437163.6346606638
claim_rate_by_cohort,power_users,1.0,14343233.127476562,9999.0,0.10012911270053924,1436175.2063112087
claim_rate_by_cohort,adversarial_whales,0.5,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.5555555555555556,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.6111111111111112,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.6666666666666666,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.7222222222222222,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.7777777777777778,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.8333333333333333,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.8888888888888888,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,0.9444444444444444,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
claim_rate_by_cohort,adversarial_whales,1.0,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.25,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.3055555555555556,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.3611111111111111,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.41666666666666663,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.4722222222222222,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.5277777777777778,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.5833333333333333,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.6388888888888888,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.6944444444444444,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,passive_viewers,0.75,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,active_viewers,0.35,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,active_viewers,0.4222222222222222,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,active_viewers,0.49444444444444446,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,active_viewers,0.5666666666666667,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
verification_pass_rate_by_cohort,active_viewers,0.6388888888888888,14345685.62364445,9999.0,0.10018043013168891,1437156.956310687
