settlement_ratio,brand_inflow_per_epoch,final_ar_ratio,final_price,is_failed,failure_reason
0.56,133333.33333333334,3.0055759958393855,0.07650009839405193,0,None
0.56,155555.55555555556,3.2746444682973572,0.07319997925903178,0,None
0.56,177777.77777777778,3.5550134850038067,0.07166546206414558,0,None
0.56,200000.0,3.8333665569899575,0.07034005137967689,1,Treasury_depletion
0.67,0.0,1.0641493110671767,0.09058600377207708,0,None
0.67,22222.222222222223,1.3627576941911357,0.09527713851607324,0,None
0.67,44444.444444444445,1.7673106959390676,0.08695553744655553,0,None
0.67,66666.66666666667,2.071177285619581,0.08343309389342574,0,None
0.67,88888.88888888889,2.374433211588691,0.07925039101464282,0,None
0.67,111111.11111111111,2.643032724614491,0.0750455757042322,0,None
0.67,133333.33333333334,2.9222585489753032,0.0722922646039858,0,None
0.67,155555.55555555556,3.205630286070707,0.07044744655836306,0,None
0.67,177777.77777777778,3.487879612832418,0.06887857826895555,1,Treasury_depletion
0.67,200000.0,3.7661318419216023,0.06773497438637462,1,Treasury_depletion
0.78,0.0,1.0344013899904865,0.08248250396082962,0,None
0.78,22222.222222222223,1.3289680257914496,0.08803143680412187,0,None
0.78,44444.444444444445,1.7356576498508323,0.08252341210388274,0,None
0.78,66666.66666666667,2.008425664223461,0.07854097468436258,0,None
0.78,88888.88888888889,2.2791948695306723,0.0743654990777179,0,None
0.78,111111.11111111111,2.571859129101942,0.0714412116404351,0,None
0.78,133333.33333333334,2.8592854301232036,0.0693497082627372,1,Treasury_depletion
0.78,155555.55555555556,3.1405692066118824,0.06838707466555849,1,Treasury_depletion
0.78,177777.77777777778,3.4239583021922773,0.0665911383765101,1,Treasury_depletion
0.78,200000.0,3.7054878858411544,0.06527395762828402,1,Treasury_depletion
0.89,0.0,1.0232563831528687,0.07530475195227361,1,Treasury_depletion
0.89,22222.222222222223,1.3825924888289207,0.08215681726706227,0,None
0.89,44444.444444444445,1.6555497218832265,0.07748399799309288,0,None
0.89,66666.66666666667,1.9338444655074176,0.07261038560501074,0,None
0.89,88888.88888888889,2.223668507383976,0.07120355536302767,0,None
0.89,111111.11111111111,2.513894228066334,0.0690970742612314,1,Treasury_depletion
0.89,133333.33333333334,2.799127189974095,0.06761312795153387,1,Treasury_depletion
0.89,155555.55555555556,3.0840590899185263,0.06605868216565211,1,Treasury_depletion
0.89,177777.77777777778,3.3653108488358354,0.06525139470939208,1,Treasury_depletion
0.89,200000.0,3.647230916176502,0.0639761886367091,1,Treasury_depletion
1.0,0.0,1.0016424915466335,0.07873815355607752,1,Treasury_depletion
1.0,22222.222222222223,1.296450477548361,0.07626056194326007,0,None
