epoch,audience_reserve,reserve_ratio,treasury,treasury_runway_estimate,total_claims_issued,total_claims_vesting,total_claims_available,total_claims_queued,total_claims_settled,settlement_requested_epoch,settlement_executed_epoch,settlement_queue,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,tokens_burned_epoch,cumulative_tokens_burned,ecosystem_inflow_epoch,throttle_multiplier,throttle_active,reserve_floor_breach,repetition_run,iteration_time,run_id,scenario_id,config_hash,seed
31,4995592.909577229,0.9991185819154458,3275856.5560794873,9999.0,56336.53846153846,5451.923076923078,8792.061203447132,0.0,42092.554181168256,0,188.73810384025813,-8.526512829121202e-14,-1.7053025658242405e-18,188.42832986066722,37.685665972133435,141.3212473955004,9.421416493033359,214.13901987156618,25000.0,1.0,0,0,0,31,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
32,4995403.94098403,0.999080788196806,3300894.2948395596,9999.0,58153.846153846156,5451.923076923078,8804.511272079611,0.0,43897.41180484347,0,188.96859319879496,-8.526512829121202e-14,-1.7053025658242405e-18,188.69380036132574,37.73876007226516,141.52035027099433,9.43469001806629,223.57370988963248,25000.0,1.0,0,0,0,32,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
33,4995214.7765863715,0.9990429553172743,3325932.0789210275,9999.0,59971.15384615385,5451.923076923078,8815.091193043192,0.0,45704.13957618758,0,189.16439765972848,-8.526512829121202e-14,-1.7053025658242405e-18,188.92040734085123,37.78408146817024,141.6903055056384,9.44602036704256,233.01973025667502,25000.0,1.0,0,0,0,33,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
34,4995025.4458341645,0.999005089166833,3350969.901707114,9999.0,61788.461538461546,5451.923076923078,8824.082245357708,0.0,47512.45621618076,0,189.3307522072856,-8.526512829121202e-14,-1.7053025658242405e-18,189.11393043469852,37.82278608693971,141.83544782602388,9.455696521734927,242.47542677840994,25000.0,1.0,0,0,0,34,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
35,4994835.973736962,0.9989671947473925,3376007.7575618397,9999.0,63605.76923076924,5451.923076923078,8831.723297714843,0.0,49322.12285613132,0,189.47209720282316,-8.526512829121202e-14,-1.7053025658242405e-18,189.27927362879328,37.85585472575866,141.95945522159496,9.463963681439665,251.9393904598496,25000.0,1.0,0,0,0,35,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
36,4994646.381536646,0.9989292763073292,3401045.64168215,9999.0,65423.07692307694,5451.923076923078,8838.217233423497,0.0,51132.93661273036,0,189.59220031591968,-8.526512829121202e-14,-1.7053025658242405e-18,189.42060155181457,37.88412031036292,142.0654511638609,9.47103007759073,261.4104205374403,25000.0,1.0,0,0,0,36,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
37,4994456.6872772835,0.9988913374554567,3426083.5499728746,9999.0,67240.38461538464,5451.923076923078,8843.736393131077,0.0,52944.72514533047,0,189.6942593632316,-8.526512829121202e-14,-1.7053025658242405e-18,189.54145362363607,37.908290724727216,142.15609021772707,9.477072681181804,270.88749321862207,25000.0,1.0,0,0,0,37,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
38,4994266.906288128,0.9988533812576257,3451121.4789408557,9999.0,69057.69230769234,5451.923076923078,8848.427188064934,0.0,54757.34204270431,0,189.78098915504063,-5.684341886080802e-14,-1.1368683772161604e-18,189.64483990558733,37.92896798111747,142.2336299291905,9.482241995279367,280.36973521390144,25000.0,1.0,0,0,0,38,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
39,4994077.051593213,0.9988154103186426,3476159.425605209,9999.0,70875.00000000004,5451.923076923078,8852.414012036716,0.0,56570.66291104022,0,189.85469491476996,-5.684341886080802e-14,-1.1368683772161604e-18,189.73332176595017,37.94666435319003,142.2999913244626,9.486666088297508,289.856401302199,25000.0,1.0,0,0,0,39,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
40,4993887.13425881,0.9987774268517621,3501197.3874211884,9999.0,72692.30769230775,5451.923076923078,8855.802560095066,0.0,58384.58205528957,0,189.91733440290608,-5.684341886080802e-14,-1.1368683772161604e-18,189.80907989678795,37.961815979357596,142.35680992259097,9.490453994839399,299.34685529703836,25000.0,1.0,0,0,0,40,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
41,4993697.163688288,0.9987394327376576,3526235.3622155404,9999.0,74509.61538461545,5451.923076923078,8858.682644738103,0.0,60199.00966295422,0,189.97057052248954,-5.684341886080802e-14,-1.1368683772161604e-18,189.87397175974615,37.97479435194922,142.4054788198096,9.493698587987305,308.84055388502566,25000.0,1.0,0,0,0,41,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
42,4993507.147872396,0.9987014295744792,3551273.3481315747,9999.0,76326.92307692315,5451.923076923078,8861.13058640194,0.0,62013.86941359808,0,190.01581589241155,-5.684341886080802e-14,-1.1368683772161604e-18,189.929580171777,37.9859160343554,142.44718512883273,9.49647900858885,318.3370328936145,25000.0,1.0,0,0,0,42,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
43,4993317.093601761,0.9986634187203522,3576311.343582464,9999.0,78144.23076923085,5451.923076923078,8863.21124303967,0.0,63829.096449268036,0,190.05427063464492,-5.684341886080802e-14,-1.1368683772161604e-18,189.97725444638493,37.99545088927699,142.48294083478868,9.498862722319247,327.83589561593374,25000.0,1.0,0,0,0,43,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
44,4993127.006647339,0.9986254013294679,3601349.3472115174,9999.0,79961.53846153856,5451.923076923078,8864.97973360421,0.0,65644.63565101118,0,190.08695442250794,-5.684341886080802e-14,-1.1368683772161604e-18,190.0181452665107,38.00362905330214,142.513608949883,9.500907263325535,337.3368028792593,25000.0,1.0,0,0,0,44,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
45,4992936.891913667,0.9985873783827335,3626387.357858371,9999.0,81778.84615384626,5451.923076923078,8866.482901829331,0.0,67460.44017509375,0,190.1147336714454,-5.684341886080802e-14,-1.1368683772161604e-18,190.05323426977725,38.01064685395546,142.53992570233294,9.502661713488864,346.8394645927482,25000.0,1.0,0,0,0,45,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
46,4992746.753569052,0.9985493507138103,3651425.374530204,9999.0,83596.15384615396,5451.923076923078,8867.760559604512,0.0,69276.47020962628,0,190.1383446155539,-5.684341886080802e-14,-1.1368683772161604e-18,190.0833591664947,38.01667183329893,142.562519374871,9.504167958324732,356.343632551073,25000.0,1.0,0,0,0,46,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
47,4992556.595156155,0.9985113190312309,3676463.39637722,9999.0,85413.46153846166,5451.923076923078,8868.846543246209,0.0,71092.69191829226,0,190.15841289732978,-5.684341886080802e-14,-1.1368683772161604e-18,190.10923507858695,38.021847015717384,142.58192630894018,9.505461753929346,365.8490943050023,25000.0,1.0,0,0,0,47,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
48,4992366.419685953,0.9984732839371907,3701501.4226717553,9999.0,87230.76923076937,5451.923076923078,8869.76961090269,0.0,72909.07654294348,0,190.17547020098198,-5.684341886080802e-14,-1.1368683772161604e-18,190.13147267804217,38.026294535608436,142.59860450853162,9.506573633902109,375.35566793890445,25000.0,1.0,0,0,0,48,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
49,4992176.229717576,0.9984352459435152,3726539.452790478,9999.0,89048.07692307707,5451.923076923078,8870.554205044486,0.0,74725.59964110938,0,190.18996837796928,-5.684341886080802e-14,-1.1368683772161604e-18,190.15059361234427,38.030118722468856,142.6129452092582,9.507529680617214,384.86319761952166,25000.0,1.0,0,0,0,49,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
50,4991986.027426131,0.9983972054852263,3751577.4861992034,9999.0,90865.38461538477,5451.923076923078,8871.221100364462,0.0,76542.2404380971,0,190.20229144461385,-5.684341886080802e-14,-1.1368683772161604e-18,190.1670436282585,38.033408725651704,142.62528272119388,9.508352181412926,394.37154980093464,25000.0,1.0,0,0,0,50,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
51,4991795.814660357,0.9983591629320715,3776615.5224399515,9999.0,92682.69230769247,5451.923076923078,8871.787954337906,0.0,78358.98127643135,0,190.212765773596,-5.684341886080802e-14,-1.1368683772161604e-18,190.18120374163414,38.03624074832683,142.63590280622563,9.509060187081708,403.8806099880164,25000.0,1.0,0,0,0,51,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
52,4991605.5929916045,0.9983211185983208,3801653.561119901,9999.0,94500.00000000017,5451.923076923078,8872.269775087741,0.0,80175.80714798921,0,190.2216687521077,-2.842170943040401e-14,-5.684341886080802e-19,190.19339974740186,38.03867994948037,142.64504981055137,9.509669987370092,413.3902799753864,25000.0,1.0,0,0,0,52,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
